"PROCESO_PYTHON","FECHA_FIN"
"00_SAPP_TOPICOS_Descarga.py",2024-07-22
"00_SAPP_TOPICOS_log_Descarga.py",2024-07-22
"01_SAPP_TOPICOS_Carga_a_Vertica.py",2024-07-22
"02_SAPP_TOPICOS_TX_Carga_a_Vertica.py",2024-07-22
"10_BANCA_DIG_ACTIVACIONES.py",2024-07-22
"20_BANCA_DIG_TX.py",2024-07-22
"20_SAPP_TX.py",2024-07-22
"21_SAPP_TX_MAC_WAC.py",2024-07-22
"22_SAPP_TX_WEB_USABILIDAD.py",2024-07-22
"23_BANCA_DIG_REFRESH.py",2024-07-22
"26_SAPP_TX_Historia_Act.py",2024-07-22
"27_BANCA_DIG_Borrar_2_dias.py",2024-07-22
"27_SAPP_TX_Reproceso_Historia.py",2024-07-21
"31_SAPP_INTERACCIONES_Carga_a_Vertica.py",2024-07-22
"32_SAPP_TAGGEO_Carga_a_Vertica.py",2024-07-22
"50_BIENESTAR_MOVIMIENTOS.py",2024-07-22
"50_SAPP_MOVIMIENTOS.py",2024-07-22
"50_WEB_DIG_MOVIMIENTOS.py",2024-07-22
"51_SAPP_SALDOS.py",2024-07-22
"56_BIENESTAR_MOVIMIENTOS_Historia_Act.py",2024-07-21
"56_SAPP_MOV_Y_SALDOS_Historia_Act.py",2024-07-22
"56_WEB_DIG_MOVIMIENTOS_Historia_Act.py",2024-07-21
"61_SAPP_CLIENTES_TXND_ZEUS.py",2024-07-22
"66_SAPP_SIN_USO.py",2024-07-21
"81_GASTOS_RH_Validacion_FASE_09.py",2024-07-22
"81_INV_EFECTIVO_Validacion_FASE_11.py",2024-07-22
"81_PLANTILLA_Validacion_FASE_08.py",2024-07-22
"81_PTOS_VENTA_Validacion_FASE_10.py",2024-07-22
"81_SAPP_Validacion_FASE_01.py",2024-07-22
"81_SAPP_Validacion_FASE_02.py",2024-07-22
"81_SAPP_Validacion_FASE_03.py",2024-07-22
"81_SAPP_Validacion_FASE_04.py",2024-07-22
"81_SAPP_Validacion_FASE_06.py",2024-07-22
"81_SAPP_Validacion_FASE_06_REFRESH.py",2024-07-22
"81_TIEMPOAIRE_Validacion_FASE_07.py",2024-07-22
